From,To,Category,Status
Маһоп12,D4rkBlizZ4rD,player,enabled
АЙ,D4rkBlizZ4rD,player,enabled
"Fenrir""s Chest",Fenrir's Chest,chest,enabled
"Hermes"" Store",Hermes' Store,source,enabled
"VVarrior""s Chest""",Warrior's Chest,chest,enabled
Clan vvealth,Clan wealth,source,enabled
OsmanliTorunu,OsmanlıTorunu,player,enabled
Epic Ancient sguad,Epic Ancient squad,source,enabled
Snovvvveaver,Snowweaver,player,enabled
Krimelmonster,Krümelmonster,player,enabled
GUARDIENOfTHUNDER,GUARDIENofTHUNDER,player,enabled
Rare Chest of VVealth,Rare Chest of Wealth,chest,enabled
Epic Chest of Vvealth,Epic Chest of Wealth,chest,enabled
Sir Nightvvoolf,Sir Nightwoolf,player,enabled
Hammerschlagi,Hammerschlag1,player,enabled
Feldjager,Feldjäger,player,enabled
FeldjÃĪger,Feldjäger,player,enabled
Feldj䧥r,Feldjäger,player,enabled
Lord Ore,Lord Öre,player,enabled
Lord ֲe,Lord Öre,player,enabled
revvard,reward,general,enabled
sguad,squad,general,enabled
Vvealth,Wealth,general,enabled
VVealth,Wealth,general,enabled
Juslius C䳡r,Julius Cäsar,player,enabled
Juslius Cäsar,Julius Cäsar,player,enabled
Julius Casar,Julius Cäsar,player,enabled
"Ancients""",Ancients',general,enabled